Issue_Key,Issue_Id,Fields_Summary,Fields_Priority_Name,Fields_Priority_Id,Fields_Assignee_AccountID,Fields_Project_Key,Fields_Project_Id,Fields_Created,Fields_Status_Name,Fields_Status_Category_Key,Fields_Issue_Type_Id,Fields_Issue_Type_Name,Fields_Reporter_AccountId,Fields_Updated,Fields_Duedate,Fields_Time_Estimate,Fields_Time_Original_Estimate
SD-306,10311,NXPSAPAPPP09 is not replicating via ASR ,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,19/11/2019,Completed,done,10001,Incident,5ce772674401890dcab40be3,39:13.4,,,
SD-305,10310,NXP SAP Dev environment,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,19/11/2019,Resolved,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,20:13.1,,,
SD-304,10309,Fwd: Power BI Gateway,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,18/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:3b398b9e-c3a8-4518-b689-03721f526590,08:14.9,,,
SD-303,10308,NXPSAPAPPP05 performance query,3 - Routine,3,5ce772674401890dcab40be3,SD,10000,18/11/2019,Resolved,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:7bb4509d-6a82-44af-a753-8e45e3a218e0,31:37.3,,,
SD-302,10307,QRS FAID Outage,3 - Routine,3,5a80c454d324b531c3d312a1,SD,10000,15/11/2019,Done,done,10006,Task,5a80c454d324b531c3d312a1,39:12.6,,,
SD-301,10306,FW: network details,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,15/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:7bb4509d-6a82-44af-a753-8e45e3a218e0,52:55.0,,,
SD-300,10305,RE: SCTASK001294959 : Read Only Access to Azure Dev and Prod Subscriptions,3 - Routine,3,,SD,10000,14/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:6eae0c5e-66a1-4d23-b9f2-262bdf614962,57:01.9,,,
SD-299,10304,Stop NXP SAP Dev (ECD) environments 14/11,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,13/11/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:12.0,,,
SD-298,10303,Start NXP SAP Dev (ECD) environments 14/11,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,13/11/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:11.7,,,
SD-297,10302,NXP Dev Environment,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,13/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,03:35.3,,,
SD-296,10301,UAT Environment Changes,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,12/11/2019,Done,done,10007,Sub-task,5cbfd25c3d24270e75a8fa93,14:57.5,,,
SD-295,10300,Dev Environment Changes,3 - Routine,3,,SD,10000,12/11/2019,Done,done,10007,Sub-task,5cbfd25c3d24270e75a8fa93,39:13.6,,,
SD-294,10299,Renew SSL certificates for K2,3 - Routine,3,,SD,10000,12/11/2019,Closed,done,10004,Change,5cca25b74fe7f511781d80b4,38:58.6,,0,
SD-293,10298,Service Desk Ticket Edited: T20191112.0140 - Please backup AE run files on Anvil server (Livestock Improvement Corporation),3 - Routine,3,5ce772674401890dcab40be3,SD,10000,12/11/2019,Resolved,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:c2d251cf-7ffa-4472-91a3-7047cc7e2d54,43:01.6,,,
SD-292,10297,AJGNZHC10DK04VP and AJGNZHC10DK11VP reboot,3 - Routine,3,5ce772674401890dcab40be3,SD,10000,11/11/2019,Closed,done,10001,Incident,5ce772674401890dcab40be3,30:20.5,,,
SD-291,10296,BW non-prod,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,11/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:7bb4509d-6a82-44af-a753-8e45e3a218e0,08:15.1,,,
SD-290,10295,High Response Time for pd-aue-dlk-04-svc ,3 - Routine,3,5a80c454d324b531c3d312a1,SD,10000,11/11/2019,Done,done,10006,Task,5a80c454d324b531c3d312a1,39:12.8,,,
SD-289,10294,Apply Network Restrctions for Datalake App Services,3 - Routine,3,5a80c454d324b531c3d312a1,SD,10000,11/11/2019,Done,done,10006,Task,5a80c454d324b531c3d312a1,22:25.5,,,
SD-288,10293,TMG Acceptance Cutover to Application Gateway,3 - Routine,3,5a80c454d324b531c3d312a1,SD,10000,11/11/2019,Resolved,done,10004,Change,5a80c454d324b531c3d312a1,20:49.9,,,
SD-287,10292,Stop SAP Development environment 12/11,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,11/11/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:12.3,,,
SD-286,10291,Start SAP Development environment 12/11,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,11/11/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:11.8,,,
SD-285,10290,Stop SAP Development environment 11/11,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,11/11/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:13.0,,,
SD-284,10289,Start SAP Development environment 11/11,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,11/11/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:12.7,,,
SD-283,10288,UCP node certs expire every 3 months.  ucp-metrics needs restarting to use the new certs,3 - Routine,3,5ce772674401890dcab40be3,SD,10000,8/11/2019,Done,done,10006,Task,5ce772674401890dcab40be3,11:46.0,,,
SD-282,10287,NXP SAP Development environment,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,8/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,49:44.3,,,
SD-281,10286,NXPSTEPAPPP01 is not replicated via ASR due to agent not working,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,8/11/2019,Completed,done,10001,Incident,5ce772674401890dcab40be3,39:13.2,,,
SD-280,10285,ETP Monitoring Showed BGP down on Sydney Connection (false positive),3 - Routine,3,,SD,10000,7/11/2019,Closed,done,10001,Incident,5cbfd25c3d24270e75a8fa93,53:03.1,,,
SD-279,10284,Change snapshots from 32 day retention to 7 day retention nxpsqlausebkpstorage02,3 - Routine,3,,SD,10000,7/11/2019,Done,done,10007,Sub-task,5cbfd25c3d24270e75a8fa93,39:12.5,,,
SD-278,10283,Changes to NXP Azure Landscape,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,7/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:7bb4509d-6a82-44af-a753-8e45e3a218e0,08:11.8,,,
SD-277,10282,Add IP to LB whitelist for b2b.nxp.nz and b2btest.nxp.nz ,3 - Routine,3,,SD,10000,6/11/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:7bb4509d-6a82-44af-a753-8e45e3a218e0,07:24.8,,,
SD-276,10281,NXPSTAPAPPP01_DataDisk1 - Disk upgrade to Premium Storage,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,5/11/2019,Done,done,10007,Sub-task,5cbfd25c3d24270e75a8fa93,39:12.8,,,
SD-275,10280,RE: CR info for vm.swappiness on Kubernetes hosts,3 - Routine,3,5ce772674401890dcab40be3,SD,10000,5/11/2019,Resolved,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:2e7cea04-d407-48cd-847c-1bf898102134,52:52.5,,,
SD-274,10279,Install new Windows License on the Nutanix (Hyper-V cluster),3 - Routine,3,5a80c454d324b531c3d312a1,SD,10000,5/11/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,10:39.4,,,
SD-273,10278,AJGNZHC10DK04DV alerted as 'down'  18:11 30/10/2019,3 - Routine,3,5ce772674401890dcab40be3,SD,10000,31/10/2019,Closed,done,10001,Incident,5ce772674401890dcab40be3,10:49.6,,,
SD-272,10277,Separate ZFS Send script with RSYNC on P01,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,30/10/2019,Closed,done,10004,Change,5cca25b8ab0c3c0e37e26e80,38:13.0,,,
SD-271,10276,Stop SAP ECD Environment,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,30/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:10.8,,,
SD-270,10275,Start SAP ECD Environment,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,30/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:10.6,,,
SD-269,10274,SAP Dev ECD only,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,30/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,04:50.9,,,
